area,type,state,latitude,longitude,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,violent_crime_rate
Florence,city,Alabama,34.79981,-87.677251,3,0.04,0.33,0.33,0.73,0.02,0.01,0.47,0.5,0.42,0.54,0.06,1.0,0.16,0.37,0.38,0.4,0.61,0.38,0.59,0.22,0.23,0.25,0.19,0.11,0.47,0.24,0.25,0.06,0.49,0.47,0.52,0.36,0.44,0.33,0.46,0.45,0.51,0.42,0.44,0.37,0.5,0.5,0.36,0.53,0.53,0.63,0.53,0.62,0.47,0.03,0.31,0.0,0.45,0.53,0.51,0.44,0.02,0.02,0.02,0.01,0.98,0.02,0.12,0.11,0.32,0.36,0.29,0.54,0.07,0.46,0.5,0.05,0.76,0.52,0.13,0.46,0.48,0.38,0.23,0.07,0.08,0.1,0.08,0.13,0.14,0.14,0.48,0.22,0.35,0.02,0.0,0.01,0.76,0.54,0.68,0.69,,,,,,,,,,,,,,,,,,0.07,0.13,0.0,,,,,0.0,,0.25
Homewood,city,Alabama,33.4717732,-86.8008228,5,0.02,0.23,0.16,0.85,0.08,0.01,0.47,0.65,0.48,0.45,0.04,1.0,0.31,0.62,0.2,0.58,0.4,0.11,0.38,0.42,0.43,0.43,0.29,0.28,0.18,0.41,0.63,0.01,0.16,0.09,0.14,0.69,0.14,0.53,0.15,0.68,0.11,0.76,0.47,0.56,0.59,0.57,0.27,0.61,0.68,0.85,0.69,0.63,0.67,0.01,0.15,0.0,0.46,0.61,0.66,0.58,0.11,0.12,0.12,0.1,0.92,0.05,0.05,0.04,0.16,0.27,0.11,0.47,0.03,0.62,0.0,0.03,0.82,0.42,0.03,0.35,0.44,0.07,0.24,0.2,0.19,0.18,0.3,0.27,0.26,0.28,0.26,0.15,0.29,0.0,0.0,0.09,0.68,0.38,0.66,0.64,,,,,,,,,,,,,,,,,,0.02,0.26,0.04,,,,,0.0,,0.15
Troy,city,Alabama,31.8087678,-85.969951,3,0.0,0.51,0.66,0.47,0.02,0.01,0.98,0.85,0.92,0.43,0.0,0.0,0.09,0.4,0.65,0.3,0.51,0.71,0.31,0.18,0.14,0.21,0.12,0.3,0.39,0,0.14,0.03,0.81,0.54,0.57,0.36,0.48,0.28,0.34,0.65,0.48,0.42,0.31,0.8,0.35,0.35,0.47,0.34,0.31,0.22,0.34,0.51,0.51,0.02,0.68,0.0,0.95,0.7,0.63,0.78,0.11,0.07,0.06,0.07,0.94,0.01,0.28,0.22,0.35,0.4,0.33,0.46,0.17,0.52,0.5,0.02,0.63,0.45,0.0,0.32,0.69,0.62,0.35,0.07,0.08,0.1,0.05,0.08,0.08,0.07,0.69,0.08,0.31,0.0,0.0,0.04,0.79,0.47,0.48,0.59,,,,,,,,,,,,,,,,,,0.07,0.05,0.0,,,,,0.0,,0.03
Sylacauga,city,Alabama,33.1731716,-86.2516406,6,0.0,0.36,0.48,0.62,0.01,0.0,0.42,0.42,0.27,0.58,0.0,0.0,0.14,0.27,0.34,0.28,0.69,0.47,0.44,0.19,0.19,0.24,0.15,0.13,0.0,0,0.43,0.02,0.52,0.48,0.6,0.27,0.27,0.37,0.73,0.4,0.72,0.43,0.44,0.28,0.57,0.54,0.45,0.52,0.49,0.66,0.56,0.55,0.52,0.01,0.2,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.01,0.98,0.03,0.24,0.22,0.4,0.42,0.38,0.55,0.17,0.51,0.5,0.02,0.67,0.55,0.19,0.7,0.46,0.62,0.54,0.07,0.08,0.09,0.02,0.05,0.08,0.07,0.53,0.27,0.28,0.0,0.0,0.01,0.88,0.62,0.78,0.82,,,,,,,,,,,,,,,,,,0.05,0.06,0.0,,,,,0.0,,0.31
Phenix City,city,Alabama,32.4709761,-85.0007653,2,0.02,0.41,0.78,0.38,0.02,0.01,0.44,0.48,0.33,0.46,0.04,1.0,0.15,0.39,0.13,0.18,0.57,0.51,0.51,0.16,0.16,0.24,0.15,0.2,0.06,0.36,0.38,0.05,0.59,0.64,0.72,0.15,0.58,0.35,0.63,0.37,0.67,0.24,0.7,0.39,0.72,0.75,0.49,0.31,0.28,0.4,0.41,0.52,0.51,0.04,0.62,0.0,0.15,0.11,0.14,0.58,0.01,0.01,0.01,0.03,0.96,0.04,0.28,0.25,0.43,0.43,0.46,0.44,0.22,0.55,0.0,0.06,0.59,0.45,0.18,0.41,0.52,0.53,0.28,0.06,0.06,0.07,0.0,0.09,0.14,0.12,0.5,0.24,0.36,0.0,0.0,0.02,0.52,0.64,0.74,0.65,,,,,,,,,,,,,,,,,,0.06,0.1,0.05,,,,,0.0,,0.34
Alabaster,city,Alabama,33.2442813,-86.8163773,7,0.01,0.61,0.21,0.83,0.02,0.01,0.41,0.49,0.26,0.21,0.02,1.0,0.46,0.77,0.23,0.38,0.22,0.16,0.22,0.42,0.29,0.29,0.27,0.16,0.24,0.38,0.26,0.01,0.14,0.27,0.37,0.39,0.12,0.69,0.27,0.37,0.32,0.48,0.31,0.2,0.35,0.34,0.56,0.81,0.79,0.97,0.82,0.6,0.51,0.0,0.09,0.0,0.5,0.43,0.46,0.43,0.04,0.03,0.03,0.02,0.97,0.01,0.17,0.21,0.65,0.64,0.56,0.82,0.1,0.22,0.5,0.01,0.85,0.82,0.0,0.26,0.83,0.13,0.66,0.16,0.15,0.13,0.13,0.23,0.25,0.28,0.19,0.18,0.25,0.0,0.0,0.03,0.7,0.4,0.34,0.57,,,,,,,,,,,,,,,,,,0.05,0.06,0.01,,,,,0.0,,0.06
Huntsville,city,Alabama,34.729847,-86.5859011,1,0.24,0.37,0.48,0.58,0.13,0.02,0.44,0.55,0.38,0.31,0.25,0.99,0.34,0.67,0.33,0.51,0.32,0.21,0.58,0.38,0.38,0.45,0.22,0.19,0.35,0.5,0.5,0.16,0.3,0.22,0.3,0.54,0.33,0.57,0.43,0.46,0.23,0.66,0.52,0.45,0.57,0.56,0.42,0.58,0.58,0.67,0.53,0.52,0.54,0.09,0.28,0.04,0.41,0.45,0.53,0.52,0.11,0.11,0.12,0.1,0.92,0.04,0.17,0.16,0.38,0.45,0.32,0.54,0.12,0.44,0.5,0.25,0.72,0.51,0.1,0.25,0.6,0.28,0.14,0.15,0.16,0.18,0.24,0.25,0.28,0.26,0.31,0.15,0.22,0.17,0.09,0.11,0.54,0.51,0.6,0.49,0.05,0.16,0.94,0.21,0.05,0.12,0.23,0.16,0.53,0.9,0.14,0.01,0,0.1,0.05,0.5,0.22,0.48,0.08,0.0,0.25,0.04,0.94,0.5,0.51,0.12,0.55
Hueytown,city,Alabama,33.458102999999994,-86.95233276079975,4,0.01,0.44,0.26,0.8,0.01,0.0,0.4,0.41,0.27,0.51,0.02,1.0,0.29,0.52,0.03,0.32,0.61,0.12,0.68,0.29,0.24,0.24,0.27,0.39,0.14,0,0.0,0.01,0.17,0.27,0.42,0.13,0.31,0.41,0.29,0.37,0.34,0.27,0.42,0.21,0.39,0.42,0.41,0.73,0.71,0.81,0.66,0.65,0.65,0.01,0.21,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.01,0.98,0.03,0.1,0.12,0.47,0.45,0.47,0.84,0.06,0.37,0.5,0.01,0.88,0.84,0.18,0.58,0.52,0.11,0.29,0.09,0.08,0.08,0.22,0.23,0.2,0.27,0.23,0.23,0.39,0.0,0.0,0.01,0.93,0.81,0.94,0.9,,,,,,,,,,,,,,,,,,0.02,0.15,0.0,,,,,0.0,,0.22
Tuskegee,city,Alabama,32.4240286,-85.6916195,5,0.0,0.62,1.0,0.0,0.03,0.0,1.0,0.89,0.95,0.47,0.0,0.0,0.07,0.42,0.32,0.12,0.46,0.6,0.62,0.11,0.08,0.2,0.19,0.0,0.16,0.09,0.06,0.03,0.97,0.47,0.48,0.44,1.0,0.08,0.14,1.0,0.4,0.5,0.4,1.0,0.54,0.51,0.61,0.0,0.0,0.0,0.0,0.92,0.86,0.04,1.0,0.0,0.56,0.62,0.55,0.62,0.07,0.07,0.06,0.06,0.95,0.04,0.53,0.39,0.41,0.39,0.46,0.38,0.3,0.49,0.5,0.03,0.44,0.4,0.74,0.61,0.65,0.71,0.52,0.07,0.07,0.08,0.02,0.09,0.11,0.13,1.0,0.45,0.5,0.0,0.0,0.05,0.71,0.47,0.55,0.43,,,,,,,,,,,,,,,,,,0.04,0.07,0.01,,,,,0.0,,0.53
Gadsden,city,Alabama,34.010929,-85.9989596,9,0.05,0.32,0.55,0.56,0.04,0.01,0.41,0.42,0.3,0.7,0.07,1.0,0.13,0.24,0.11,0.27,0.78,0.5,0.64,0.15,0.19,0.23,0.18,0.11,0.37,0.16,0.16,0.08,0.54,0.55,0.68,0.15,0.55,0.18,0.62,0.36,0.75,0.26,0.62,0.33,0.56,0.61,0.39,0.41,0.37,0.43,0.48,0.42,0.4,0.04,0.36,0.0,1.0,0.93,0.89,0.79,0.11,0.08,0.07,0.06,0.96,0.05,0.21,0.19,0.33,0.32,0.37,0.57,0.1,0.52,0.5,0.09,0.65,0.58,0.22,0.65,0.29,0.48,0.35,0.03,0.03,0.05,0.02,0.07,0.08,0.1,0.38,0.23,0.44,0.0,0.0,0.04,0.88,0.66,0.85,0.81,0.01,0.2,0.99,0.19,0.03,0.24,0.41,0.2,0.63,0.73,0.28,0.03,0.75,0.28,0.01,0.64,0.58,0.1,0.1,0.01,0.06,0.01,0.41,0.5,0.42,0.11,0.9
Jasper,city,Alabama,33.8312185,-87.2775053,8,0.01,0.37,0.28,0.77,0.02,0.01,0.39,0.37,0.23,0.62,0.0,0.0,0.18,0.23,0.36,0.38,0.73,0.41,0.53,0.26,0.26,0.26,0.24,0.0,0.07,0,0.07,0.02,0.43,0.48,0.62,0.26,0.32,0.23,0.25,0.49,0.5,0.4,0.54,0.24,0.52,0.56,0.4,0.62,0.56,0.53,0.69,0.45,0.37,0.01,0.23,0.0,0.65,0.48,0.45,0.43,0.03,0.02,0.02,0.02,0.98,0.03,0.15,0.15,0.36,0.37,0.34,0.63,0.1,0.48,0.5,0.02,0.69,0.62,0.08,0.58,0.58,0.48,0.53,0.08,0.09,0.11,0.03,0.1,0.11,0.15,0.54,0.13,0.46,0.0,0.0,0.02,0.87,0.62,0.79,0.84,,,,,,,,,,,,,,,,,,0.06,0.05,0.03,,,,,0.0,,0.53
Saraland,city,Alabama,30.820742,-88.0705556,4,0.0,0.48,0.13,0.89,0.01,0.01,0.45,0.46,0.3,0.35,0.02,1.0,0.31,0.61,0.28,0.35,0.47,0.13,0.61,0.29,0.23,0.23,0.18,0.19,0.0,0,0.15,0.01,0.18,0.32,0.46,0.13,0.24,0.44,0.53,0.3,0.56,0.24,0.38,0.25,0.42,0.42,0.47,0.76,0.75,0.87,0.68,0.42,0.38,0.0,0.07,0.0,0.52,0.38,0.45,0.38,0.02,0.01,0.02,0.01,0.97,0.0,0.13,0.15,0.54,0.54,0.48,0.74,0.09,0.28,0.5,0.01,0.84,0.73,0.11,0.48,0.65,0.25,0.07,0.1,0.09,0.08,0.18,0.18,0.16,0.19,0.15,0.15,0.15,0.0,0.0,0.01,0.78,0.71,0.87,0.8,,,,,,,,,,,,,,,,,,0.03,0.09,0.01,,,,,0.0,,0.65
Hartselle,city,Alabama,34.4435937,-86.9347899,4,0.0,0.43,0.12,0.9,0.01,0.0,0.46,0.45,0.28,0.43,0.02,1.0,0.28,0.57,0.65,0.37,0.53,0.36,0.42,0.29,0.24,0.24,0.19,0.14,0.52,0.31,0.45,0.01,0.27,0.48,0.51,0.21,0.33,0.51,0.67,0.39,0.59,0.34,0.39,0.23,0.48,0.46,0.44,0.71,0.72,0.83,0.74,0.71,0.65,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.01,0.13,0.15,0.47,0.47,0.44,0.7,0.07,0.33,0.5,0.01,0.79,0.7,0.1,0.47,0.6,0.31,0.59,0.1,0.09,0.09,0.06,0.11,0.12,0.13,0.3,0.22,0.31,0.0,0.0,0.01,0.8,0.59,0.76,0.77,,,,,,,,,,,,,,,,,,0.03,0.07,0.03,,,,,0.0,,0.01
Madison,city,Alabama,34.7736807,-86.5675095,5,0.01,0.36,0.15,0.83,0.16,0.03,0.23,0.57,0.21,0.06,0.02,0.99,0.52,0.95,0.41,0.66,0.06,0.07,0.23,0.56,0.5,0.52,0.25,0.29,0.35,0.83,0.66,0.0,0.1,0.08,0.1,0.8,0.12,0.83,0.77,0.31,0.11,0.93,0.45,0.29,0.41,0.43,0.4,0.82,0.85,0.91,0.64,0.37,0.36,0.0,0.16,0.0,0.36,0.39,0.45,0.47,0.11,0.11,0.11,0.11,0.89,0.06,0.07,0.08,0.39,0.48,0.29,0.57,0.08,0.43,0.5,0.03,0.6,0.53,0.06,0.21,0.98,0.15,0.1,0.22,0.21,0.23,0.39,0.36,0.39,0.36,0.0,0.37,0.24,0.0,0.0,0.13,0.37,0.05,0.14,0.0,,,,,,,,,,,,,,,,,,0.06,0.06,0.01,,,,,0.0,,0.08
Cullman,city,Alabama,34.1335332,-86.8779268,1,0.01,0.3,0.0,0.99,0.02,0.01,0.38,0.37,0.27,0.74,0.0,0.0,0.16,0.24,0.24,0.41,0.73,0.53,0.49,0.21,0.25,0.24,0.0,0.12,0.29,0,0.04,0.02,0.45,0.62,0.61,0.26,0.24,0.27,0.45,0.37,0.5,0.42,0.54,0.22,0.54,0.57,0.28,0.63,0.63,0.75,0.6,0.35,0.54,0.0,0.05,0.0,1.0,0.81,0.87,0.74,0.02,0.01,0.02,0.01,0.98,0.02,0.06,0.06,0.27,0.33,0.23,0.53,0.05,0.46,0.5,0.01,0.8,0.5,0.1,0.38,0.54,0.37,0.07,0.1,0.1,0.11,0.06,0.09,0.11,0.12,0.58,0.25,0.28,0.0,0.0,0.0,0.82,0.54,0.72,0.76,,,,,,,,,,,,,,,,,,0.04,0.07,0.01,,,,,0.0,,0.16
